aix/local/ibstat_path,CVE-2013-4011;OSVDB-95420;BID-61287;URL-http://www-01.ibm.com/support/docview.wss?uid=isg1IV43827;URL-http://www-01.ibm.com/support/docview.wss?uid=isg1IV43756
aix/rpc_cmsd_opcode21,CVE-2009-3699;OSVDB-58726;BID-36615;URL-http://labs.idefense.com/intelligence/vulnerabilities/display.php?id=825;URL-http://aix.software.ibm.com/aix/efixes/security/cmsd_advisory.asc
aix/rpc_ttdbserverd_realpath,CVE-2009-2727;OSVDB-55151
android/browser/samsung_knox_smdm_url,URL-http://blog.quarkslab.com/abusing-samsung-knox-to-remotely-install-a-malicious-application-story-of-a-half-patched-vulnerability.html;OSVDB-114590
android/browser/webview_addjavascriptinterface,URL-http://blog.trustlook.com/2013/09/04/alert-android-webview-addjavascriptinterface-code-execution-vulnerability/;URL-https://labs.mwrinfosecurity.com/blog/2012/04/23/adventures-with-android-webviews/;URL-http://50.56.33.56/blog/?p=314;URL-https://labs.mwrinfosecurity.com/advisories/2013/09/24/webview-addjavascriptinterface-remote-code-execution/;URL-https://github.com/mwrlabs/drozer/blob/bcadf5c3fd08c4becf84ed34302a41d7b5e9db63/src/drozer/modules/exploit/mitm/addJavaScriptInterface.py;CVE-2012-6636;CVE-2013-4710;EDB-31519;OSVDB-97520
android/fileformat/adobe_reader_pdf_js_interface,CVE-2014-0514;EDB-32884;OSVDB-105781
android/local/futex_requeue,CVE-2014-3153;URL-http://tinyhack.com/2014/07/07/exploiting-the-futex-bug-and-uncovering-towelroot/;URL-http://blog.nativeflow.com/the-futex-vulnerability
apple_ios/browser/safari_libtiff,CVE-2006-3459;OSVDB-27723;BID-19283
apple_ios/email/mobilemail_libtiff,CVE-2006-3459;OSVDB-27723;BID-19283
apple_ios/ssh/cydia_default_ssh,OSVDB-61284
bsdi/softcart/mercantec_softcart,CVE-2004-2221;OSVDB-9011;BID-10926
dialup/multi/login/manyargs,CVE-2001-0797;OSVDB-690;OSVDB-691;BID-3681;URL-http://archives.neohapsis.com/archives/bugtraq/2002-10/0014.html;URL-http://archives.neohapsis.com/archives/bugtraq/2004-12/0404.html
firefox/local/exec_shellcode,No-references
freebsd/ftp/proftp_telnet_iac,CVE-2010-4221;OSVDB-68985;BID-44562
freebsd/local/mmap,CVE-2013-2171;OSVDB-94414;EDB-26368;BID-60615;URL-http://www.freebsd.org/security/advisories/FreeBSD-SA-13:06.mmap.asc
freebsd/misc/citrix_netscaler_soap_bof,URL-http://console-cowboys.blogspot.com/2014/09/scaling-netscaler.html
freebsd/samba/trans2open,CVE-2003-0201;OSVDB-4469;BID-7294;URL-http://seclists.org/bugtraq/2003/Apr/103
freebsd/tacacs/xtacacsd_report,CVE-2008-7232;OSVDB-58140;URL-http://aluigi.altervista.org/adv/xtacacsdz-adv.txt
freebsd/telnet/telnet_encrypt_keyid,CVE-2011-4862;OSVDB-78020;BID-51182;EDB-18280
hpux/lpd/cleanup_exec,CVE-2002-1473;OSVDB-9638;URL-http://archives.neohapsis.com/archives/hp/2002-q3/0064.html
irix/lpd/tagprinter_exec,CVE-2001-0800;OSVDB-8573;URL-http://www.lsd-pl.net/code/IRIX/irx_lpsched.c
linux/antivirus/escan_password_exec,URL-http://www.joxeankoret.com/download/breaking_av_software-pdf.tar.gz
linux/browser/adobe_flashplayer_aslaunch,CVE-2008-5499;OSVDB-50796;BID-32896;URL-http://www.adobe.com/support/security/bulletins/apsb08-24.html
